	Sample_ID	calc_gr	calc_volumeloss	Species	Drop_out	Dilution
0	BS1_A1	TRUE	FALSE	1ShBS1	FALSE	5
1	BS1_B1	TRUE	FALSE	1ShBS1	FALSE	5
2	BS1_C1	TRUE	FALSE	1ShBS1	FALSE	5
3	BS1_D1	TRUE	FALSE	1ShBS1	FALSE	5
4	BS1_E1	TRUE	FALSE	1ShBS1	FALSE	5
5	BS1_F1	TRUE	FALSE	1ShBS1	FALSE	5
6	BS1_G1	TRUE	FALSE	1ShBS1	FALSE	5
7	BS1_H1	TRUE	FALSE	1ShBS1	FALSE	5
8	BS1_A2	TRUE	FALSE	1ShBS1	FALSE	5
9	BS1_B2	TRUE	FALSE	1ShBS1	FALSE	5
10	BS1_C2	TRUE	FALSE	1ShBS1	FALSE	5
11	BS1_D2	TRUE	FALSE	1ShBS1	FALSE	5
12	BS1_E2	TRUE	FALSE	1ShBS1	FALSE	5
13	BS1_F2	TRUE	FALSE	1ShBS1	FALSE	5
14	BS1_G2	TRUE	FALSE	1ShBS1	FALSE	5
15	BS1_H2	TRUE	FALSE	1ShBS1	FALSE	5
16	BS1_A3	TRUE	FALSE	1ShBS1	FALSE	5
17	BS1_B3	TRUE	FALSE	1ShBS1	FALSE	5
18	BS1_C3	TRUE	FALSE	1ShBS1	FALSE	5
19	BS1_D3	TRUE	FALSE	1ShBS1	FALSE	5
20	BS1_E3	TRUE	FALSE	1ShBS1	FALSE	5
21	BS1_F3	TRUE	FALSE	1ShBS1	FALSE	5
22	BS1_G3	TRUE	FALSE	1ShBS1	FALSE	5
23	BS1_H3	TRUE	FALSE	1ShBS1	FALSE	5
24	BS1_A4	TRUE	FALSE	1ShBS1	FALSE	5
25	BS1_B4	TRUE	FALSE	1ShBS1	FALSE	5
26	BS1_C4	TRUE	FALSE	1ShBS1	FALSE	5
27	BS1_D4	TRUE	FALSE	1ShBS1	FALSE	5
28	BS1_E4	TRUE	FALSE	1ShBS1	FALSE	5
29	BS1_F4	TRUE	FALSE	1ShBS1	FALSE	5
30	BS1_G4	TRUE	FALSE	1ShBS1	FALSE	5
31	BS1_H4	TRUE	FALSE	1ShBS1	FALSE	5
32	BS1_A5	TRUE	FALSE	1ShBS1	FALSE	5
33	BS1_B5	TRUE	FALSE	1ShBS1	FALSE	5
34	BS1_C5	TRUE	FALSE	1ShBS1	FALSE	5
35	BS1_D5	TRUE	FALSE	1ShBS1	FALSE	5
36	BS1_E5	TRUE	FALSE	1ShBS1	FALSE	5
37	BS1_F5	TRUE	FALSE	1ShBS1	FALSE	5
38	BS1_G5	TRUE	FALSE	1ShBS1	FALSE	5
39	BS1_H5	TRUE	FALSE	1ShBS1	FALSE	5
40	BS1_A6	TRUE	FALSE	1ShBS1	FALSE	5
41	BS1_B6	TRUE	FALSE	1ShBS1	FALSE	5
42	BS1_C6	TRUE	FALSE	1ShBS1	FALSE	5
43	BS1_D6	TRUE	FALSE	1ShBS1	FALSE	5
44	BS1_E6	TRUE	FALSE	1ShBS1	FALSE	5
45	BS1_F6	TRUE	FALSE	1ShBS1	FALSE	5
46	BS1_G6	TRUE	FALSE	1ShBS1	FALSE	5
47	BS1_H6	TRUE	FALSE	1ShBS1	FALSE	5
48	BS1_A7	TRUE	FALSE	MG1655	FALSE	5
49	BS1_B7	TRUE	FALSE	MG1655	FALSE	5
50	BS1_C7	TRUE	FALSE	MG1655	FALSE	5
51	BS1_D7	TRUE	FALSE	MG1655	FALSE	5
52	BS1_E7	TRUE	FALSE	MG1655	FALSE	5
53	BS1_F7	TRUE	FALSE	MG1655	FALSE	5
54	BS1_G7	TRUE	FALSE	MG1655	FALSE	5
55	BS1_H7	TRUE	FALSE	MG1655	FALSE	5
56	BS1_A8	TRUE	FALSE	MG1655	FALSE	5
57	BS1_B8	TRUE	FALSE	MG1655	FALSE	5
58	BS1_C8	TRUE	FALSE	MG1655	FALSE	5
59	BS1_D8	TRUE	FALSE	MG1655	FALSE	5
60	BS1_E8	TRUE	FALSE	MG1655	FALSE	5
61	BS1_F8	TRUE	FALSE	MG1655	FALSE	5
62	BS1_G8	TRUE	FALSE	MG1655	FALSE	5
63	BS1_H8	TRUE	FALSE	MG1655	FALSE	5
64	BS1_A9	TRUE	FALSE	MG1655	FALSE	5
65	BS1_B9	TRUE	FALSE	MG1655	FALSE	5
66	BS1_C9	TRUE	FALSE	MG1655	FALSE	5
67	BS1_D9	TRUE	FALSE	MG1655	FALSE	5
68	BS1_E9	TRUE	FALSE	MG1655	FALSE	5
69	BS1_F9	TRUE	FALSE	MG1655	FALSE	5
70	BS1_G9	TRUE	FALSE	MG1655	FALSE	5
71	BS1_H9	TRUE	FALSE	MG1655	FALSE	5
72	BS1_A10	TRUE	FALSE	MG1655	FALSE	5
73	BS1_B10	TRUE	FALSE	MG1655	FALSE	5
74	BS1_C10	TRUE	FALSE	MG1655	FALSE	5
75	BS1_D10	TRUE	FALSE	MG1655	FALSE	5
76	BS1_E10	TRUE	FALSE	MG1655	FALSE	5
77	BS1_F10	TRUE	FALSE	MG1655	FALSE	5
78	BS1_G10	TRUE	FALSE	MG1655	FALSE	5
79	BS1_H10	TRUE	FALSE	MG1655	FALSE	5
80	BS1_A11	TRUE	FALSE	MG1655	FALSE	5
81	BS1_B11	TRUE	FALSE	MG1655	FALSE	5
82	BS1_C11	TRUE	FALSE	MG1655	FALSE	5
83	BS1_D11	TRUE	FALSE	MG1655	FALSE	5
84	BS1_E11	TRUE	FALSE	MG1655	FALSE	5
85	BS1_F11	TRUE	FALSE	MG1655	FALSE	5
86	BS1_G11	TRUE	FALSE	MG1655	FALSE	5
87	BS1_H11	TRUE	FALSE	MG1655	FALSE	5
88	BS1_A12	TRUE	FALSE	Bl_M9	FALSE	5
89	BS1_B12	TRUE	FALSE	Bl_M9	FALSE	5
90	BS1_C12	TRUE	FALSE	Bl_M9	FALSE	5
91	BS1_D12	TRUE	FALSE	Bl_M9	FALSE	5
92	BS1_E12	FALSE	TRUE	Orange G	FALSE	5
93	BS1_F12	FALSE	TRUE	Orange G	FALSE	5
94	BS1_G12	FALSE	TRUE	Orange G	TRUE	5
95	BS1_H12	FALSE	TRUE	Orange G	FALSE	5
96	BS2_A1	TRUE	FALSE	ShBS2	FALSE	5
97	BS2_B1	TRUE	FALSE	ShBS2	FALSE	5
98	BS2_C1	TRUE	FALSE	ShBS2	FALSE	5
99	BS2_D1	TRUE	FALSE	ShBS2	FALSE	5
100	BS2_E1	TRUE	FALSE	ShBS2	FALSE	5
101	BS2_F1	TRUE	FALSE	ShBS2	FALSE	5
102	BS2_G1	TRUE	FALSE	ShBS2	FALSE	5
103	BS2_H1	TRUE	FALSE	ShBS2	FALSE	5
104	BS2_A2	TRUE	FALSE	ShBS2	FALSE	5
105	BS2_B2	TRUE	FALSE	ShBS2	FALSE	5
106	BS2_C2	TRUE	FALSE	ShBS2	FALSE	5
107	BS2_D2	TRUE	FALSE	ShBS2	FALSE	5
108	BS2_E2	TRUE	FALSE	ShBS2	FALSE	5
109	BS2_F2	TRUE	FALSE	ShBS2	FALSE	5
110	BS2_G2	TRUE	FALSE	ShBS2	FALSE	5
111	BS2_H2	TRUE	FALSE	ShBS2	FALSE	5
112	BS2_A3	TRUE	FALSE	ShBS2	FALSE	5
113	BS2_B3	TRUE	FALSE	ShBS2	FALSE	5
114	BS2_C3	TRUE	FALSE	ShBS2	FALSE	5
115	BS2_D3	TRUE	FALSE	ShBS2	FALSE	5
116	BS2_E3	TRUE	FALSE	ShBS2	FALSE	5
117	BS2_F3	TRUE	FALSE	ShBS2	FALSE	5
118	BS2_G3	TRUE	FALSE	ShBS2	FALSE	5
119	BS2_H3	TRUE	FALSE	ShBS2	FALSE	5
120	BS2_A4	TRUE	FALSE	ShBS2	FALSE	5
121	BS2_B4	TRUE	FALSE	ShBS2	FALSE	5
122	BS2_C4	TRUE	FALSE	ShBS2	FALSE	5
123	BS2_D4	TRUE	FALSE	ShBS2	FALSE	5
124	BS2_E4	TRUE	FALSE	ShBS2	FALSE	5
125	BS2_F4	TRUE	FALSE	ShBS2	FALSE	5
126	BS2_G4	TRUE	FALSE	ShBS2	FALSE	5
127	BS2_H4	TRUE	FALSE	ShBS2	FALSE	5
128	BS2_A5	TRUE	FALSE	ShBS2	FALSE	5
129	BS2_B5	TRUE	FALSE	ShBS2	FALSE	5
130	BS2_C5	TRUE	FALSE	ShBS2	FALSE	5
131	BS2_D5	TRUE	FALSE	ShBS2	FALSE	5
132	BS2_E5	TRUE	FALSE	ShBS2	FALSE	5
133	BS2_F5	TRUE	FALSE	ShBS2	FALSE	5
134	BS2_G5	TRUE	FALSE	ShBS2	FALSE	5
135	BS2_H5	TRUE	FALSE	ShBS2	FALSE	5
136	BS2_A6	TRUE	FALSE	ShBS2	FALSE	5
137	BS2_B6	TRUE	FALSE	ShBS2	FALSE	5
138	BS2_C6	TRUE	FALSE	ShBS2	FALSE	5
139	BS2_D6	TRUE	FALSE	ShBS2	FALSE	5
140	BS2_E6	TRUE	FALSE	ShBS2	FALSE	5
141	BS2_F6	TRUE	FALSE	ShBS2	FALSE	5
142	BS2_G6	TRUE	FALSE	ShBS2	FALSE	5
143	BS2_H6	TRUE	FALSE	ShBS2	FALSE	5
144	BS2_A7	TRUE	FALSE	MGBS2	FALSE	5
145	BS2_B7	TRUE	FALSE	MGBS2	FALSE	5
146	BS2_C7	TRUE	FALSE	MGBS2	FALSE	5
147	BS2_D7	TRUE	FALSE	MGBS2	FALSE	5
148	BS2_E7	TRUE	FALSE	MGBS2	FALSE	5
149	BS2_F7	TRUE	FALSE	MGBS2	FALSE	5
150	BS2_G7	TRUE	FALSE	MGBS2	FALSE	5
151	BS2_H7	TRUE	FALSE	MGBS2	FALSE	5
152	BS2_A8	TRUE	FALSE	MGBS2	FALSE	5
153	BS2_B8	TRUE	FALSE	MGBS2	FALSE	5
154	BS2_C8	TRUE	FALSE	MGBS2	FALSE	5
155	BS2_D8	TRUE	FALSE	MGBS2	FALSE	5
156	BS2_E8	TRUE	FALSE	MGBS2	FALSE	5
