Evaluation Time;Measurement Type;Bioshaker Processed;Sampling ID;Quadrant Used in Reading Plate;Evaluated File;Average Measured
20-06-2019 16:07:13;OD600;1;1;1;C:\Tecan\Assays\Data\OD600_2019_06_20_04_04.xlsx;0,331057289149612
20-06-2019 16:15:44;OD600;3;1;2;C:\Tecan\Assays\Data\OD600_2019_06_20_04_13.xlsx;0,319697919573324
20-06-2019 16:54:12;OD600;1;2;3;C:\Tecan\Assays\Data\OD600_2019_06_20_04_52.xlsx;0,984130208962597
20-06-2019 17:02:41;OD600;3;2;4;C:\Tecan\Assays\Data\OD600_2019_06_20_05_00.xlsx;1,10695312032476
20-06-2019 17:47:38;OD600;1;3;1;C:\Tecan\Assays\Data\OD600_2019_06_20_05_45.xlsx;1,05329687105647
20-06-2019 18:26:06;OD600;1;4;3;C:\Tecan\Assays\Data\OD600_2019_06_20_06_23.xlsx;1,03845833820136
20-06-2019 19:05:32;OD600;1;5;1;C:\Tecan\Assays\Data\OD600_2019_06_20_07_03.xlsx;1,03848437817457
20-06-2019 19:44:00;OD600;1;6;3;C:\Tecan\Assays\Data\OD600_2019_06_20_07_41.xlsx;1,0767656203825
20-06-2019 20:23:24;OD600;1;7;1;C:\Tecan\Assays\Data\OD600_2019_06_20_08_21.xlsx;1,83840104223539
20-06-2019 21:01:52;OD600;1;8;3;C:\Tecan\Assays\Data\OD600_2019_06_20_08_59.xlsx;1,69840105033169
20-06-2019 21:41:15;OD600;1;9;1;C:\Tecan\Assays\Data\OD600_2019_06_20_09_39.xlsx;1,72695312416181
20-06-2019 22:19:43;OD600;1;10;3;C:\Tecan\Assays\Data\OD600_2019_06_20_10_17.xlsx;1,6396562452428
20-06-2019 22:59:08;OD600;1;11;1;C:\Tecan\Assays\Data\OD600_2019_06_20_10_56.xlsx;1,48436457772429
20-06-2019 23:37:36;OD600;1;12;3;C:\Tecan\Assays\Data\OD600_2019_06_20_11_35.xlsx;1,40113020548597
21-06-2019 00:17:02;OD600;1;13;1;C:\Tecan\Assays\Data\OD600_2019_06_21_12_14.xlsx;1,28094791512315
21-06-2019 00:55:29;OD600;1;14;3;C:\Tecan\Assays\Data\OD600_2019_06_21_12_53.xlsx;1,31680729178091
21-06-2019 01:34:54;OD600;1;15;1;C:\Tecan\Assays\Data\OD600_2019_06_21_01_32.xlsx;1,25401562778279
21-06-2019 02:13:20;OD600;1;16;3;C:\Tecan\Assays\Data\OD600_2019_06_21_02_11.xlsx;1,27624479588121
21-06-2019 02:52:46;OD600;1;17;1;C:\Tecan\Assays\Data\OD600_2019_06_21_02_50.xlsx;1,2869062484242
21-06-2019 03:31:14;OD600;1;18;3;C:\Tecan\Assays\Data\OD600_2019_06_21_03_29.xlsx;1,23526562548553
21-06-2019 04:10:37;OD600;1;19;1;C:\Tecan\Assays\Data\OD600_2019_06_21_04_08.xlsx;1,25203125101204
21-06-2019 04:49:05;OD600;1;20;3;C:\Tecan\Assays\Data\OD600_2019_06_21_04_46.xlsx;1,23808333495011
21-06-2019 05:28:28;OD600;1;21;1;C:\Tecan\Assays\Data\OD600_2019_06_21_05_26.xlsx;1,26881249947473
21-06-2019 06:06:56;OD600;1;22;3;C:\Tecan\Assays\Data\OD600_2019_06_21_06_04.xlsx;1,32058333295087
21-06-2019 06:46:19;OD600;1;23;1;C:\Tecan\Assays\Data\OD600_2019_06_21_06_44.xlsx;1,24474478807921
21-06-2019 07:24:47;OD600;1;24;3;C:\Tecan\Assays\Data\OD600_2019_06_21_07_22.xlsx;1,12900000337201
21-06-2019 08:04:11;OD600;1;25;1;C:\Tecan\Assays\Data\OD600_2019_06_21_08_02.xlsx;1,13948958285619
21-06-2019 08:42:40;OD600;1;26;3;C:\Tecan\Assays\Data\OD600_2019_06_21_08_40.xlsx;1,15044791949913
21-06-2019 08:56:05;OD600;1;27;1;C:\Tecan\Assays\Data\OD600_2019_06_21_08_53.xlsx;1,16495833441149
21-06-2019 09:34:33;OD600;1;28;3;C:\Tecan\Assays\Data\OD600_2019_06_21_09_32.xlsx;1,17852083038694
21-06-2019 10:13:57;OD600;1;29;1;C:\Tecan\Assays\Data\OD600_2019_06_21_10_11.xlsx;1,15802604258837
21-06-2019 10:52:23;OD600;1;30;3;C:\Tecan\Assays\Data\OD600_2019_06_21_10_50.xlsx;1,16447916409622
21-06-2019 11:31:45;OD600;1;31;1;C:\Tecan\Assays\Data\OD600_2019_06_21_11_29.xlsx;1,2063645827584
21-06-2019 12:10:12;OD600;1;32;3;C:\Tecan\Assays\Data\OD600_2019_06_21_12_08.xlsx;1,27530729339924
21-06-2019 12:23:45;OD600;1;33;1;C:\Tecan\Assays\Data\OD600_2019_06_21_12_21.xlsx;1,23992187300852
21-06-2019 12:37:36;OD600;1;34;3;C:\Tecan\Assays\Data\OD600_2019_06_21_12_35.xlsx;1,34106249761923
21-06-2019 13:17:05;OD600;1;35;1;C:\Tecan\Assays\Data\OD600_2019_06_21_01_14.xlsx;1,34267187677324
21-06-2019 13:55:33;OD600;1;36;3;C:\Tecan\Assays\Data\OD600_2019_06_21_01_53.xlsx;1,21793750091456
