Sampling Time;Measurement Type;Bioshaker Processed;Sampling ID;Quadrant Used in Reading Plate
20-06-2019 16:04:44;OD600;1;1;1
20-06-2019 16:07:13;OD450;1;1;1
20-06-2019 16:13:34;OD600;3;1;2
20-06-2019 16:15:44;OD450;3;1;2
20-06-2019 16:52:02;OD600;1;2;3
20-06-2019 16:54:12;OD450;1;2;3
20-06-2019 17:00:31;OD600;3;2;4
20-06-2019 17:02:41;OD450;3;2;4
20-06-2019 17:45:28;OD600;1;3;1
20-06-2019 17:47:38;OD450;1;3;1
20-06-2019 18:23:57;OD600;1;4;3
20-06-2019 18:26:07;OD450;1;4;3
20-06-2019 19:03:22;OD600;1;5;1
20-06-2019 19:05:32;OD450;1;5;1
20-06-2019 19:41:50;OD600;1;6;3
20-06-2019 19:44:00;OD450;1;6;3
20-06-2019 20:21:15;OD600;1;7;1
20-06-2019 20:23:24;OD450;1;7;1
20-06-2019 20:59:43;OD600;1;8;3
20-06-2019 21:01:53;OD450;1;8;3
20-06-2019 21:39:06;OD600;1;9;1
20-06-2019 21:41:15;OD450;1;9;1
20-06-2019 22:17:33;OD600;1;10;3
20-06-2019 22:19:43;OD450;1;10;3
20-06-2019 22:56:59;OD600;1;11;1
20-06-2019 22:59:08;OD450;1;11;1
20-06-2019 23:35:26;OD600;1;12;3
20-06-2019 23:37:36;OD450;1;12;3
21-06-2019 00:14:51;OD600;1;13;1
21-06-2019 00:17:02;OD450;1;13;1
21-06-2019 00:53:19;OD600;1;14;3
21-06-2019 00:55:29;OD450;1;14;3
21-06-2019 01:32:44;OD600;1;15;1
21-06-2019 01:34:54;OD450;1;15;1
21-06-2019 02:11:10;OD600;1;16;3
21-06-2019 02:13:20;OD450;1;16;3
21-06-2019 02:50:36;OD600;1;17;1
21-06-2019 02:52:46;OD450;1;17;1
21-06-2019 03:29:05;OD600;1;18;3
21-06-2019 03:31:15;OD450;1;18;3
21-06-2019 04:08:27;OD600;1;19;1
21-06-2019 04:10:37;OD450;1;19;1
21-06-2019 04:46:56;OD600;1;20;3
21-06-2019 04:49:06;OD450;1;20;3
21-06-2019 05:26:18;OD600;1;21;1
21-06-2019 05:28:28;OD450;1;21;1
21-06-2019 06:04:46;OD600;1;22;3
21-06-2019 06:06:56;OD450;1;22;3
21-06-2019 06:44:09;OD600;1;23;1
21-06-2019 06:46:19;OD450;1;23;1
21-06-2019 07:22:38;OD600;1;24;3
21-06-2019 07:24:47;OD450;1;24;3
21-06-2019 08:02:02;OD600;1;25;1
21-06-2019 08:04:12;OD450;1;25;1
21-06-2019 08:40:30;OD600;1;26;3
21-06-2019 08:42:40;OD450;1;26;3
21-06-2019 08:53:55;OD600;1;27;1
21-06-2019 08:56:05;OD450;1;27;1
21-06-2019 09:32:23;OD600;1;28;3
21-06-2019 09:34:33;OD450;1;28;3
21-06-2019 10:11:47;OD600;1;29;1
21-06-2019 10:13:57;OD450;1;29;1
21-06-2019 10:50:13;OD600;1;30;3
21-06-2019 10:52:23;OD450;1;30;3
21-06-2019 11:29:36;OD600;1;31;1
21-06-2019 11:31:45;OD450;1;31;1
21-06-2019 12:08:02;OD600;1;32;3
21-06-2019 12:10:12;OD450;1;32;3
21-06-2019 12:21:33;OD600;1;33;1
21-06-2019 12:23:45;OD450;1;33;1
21-06-2019 12:35:25;OD600;1;34;3
21-06-2019 12:37:36;OD450;1;34;3
21-06-2019 13:14:55;OD600;1;35;1
21-06-2019 13:17:05;OD450;1;35;1
21-06-2019 13:53:23;OD600;1;36;3
21-06-2019 13:55:33;OD450;1;36;3
