Evaluation Time;Measurement Type;Bioshaker Processed;Sampling ID;Quadrant Used in Reading Plate;Evaluated File;Average Measured
28-06-2019 14:57:19;OD600;1;1;1;C:\Tecan\Assays\Data\OD600_2019_06_28_02_55_10.xlsx;1,2500025331974E-03
28-06-2019 15:05:44;OD600;3;1;2;C:\Tecan\Assays\Data\OD600_2019_06_28_03_03_36.xlsx;3,75001691281796E-04
28-06-2019 15:59:08;OD600;1;2;3;C:\Tecan\Assays\Data\OD600_2019_06_28_03_56_59.xlsx;-2,49999575316906E-04
28-06-2019 16:07:34;OD600;3;2;4;C:\Tecan\Assays\Data\OD600_2019_06_28_04_05_24.xlsx;1,12500507384539E-03
28-06-2019 17:01:53;OD600;1;3;1;C:\Tecan\Assays\Data\OD600_2019_06_28_04_59_44.xlsx;1,74999237060547E-03
28-06-2019 17:10:19;OD600;3;3;2;C:\Tecan\Assays\Data\OD600_2019_06_28_05_08_10.xlsx;-2,50004231929779E-04
28-06-2019 18:03:43;OD600;1;4;3;C:\Tecan\Assays\Data\OD600_2019_06_28_06_01_34.xlsx;1,00000761449337E-03
28-06-2019 18:12:09;OD600;3;4;4;C:\Tecan\Assays\Data\OD600_2019_06_28_06_10_00.xlsx;3,75006347894669E-04
28-06-2019 19:06:28;OD600;1;5;1;C:\Tecan\Assays\Data\OD600_2019_06_28_07_04_19.xlsx;-9,99998301267624E-04
28-06-2019 19:14:53;OD600;3;5;2;C:\Tecan\Assays\Data\OD600_2019_06_28_07_12_45.xlsx;-3,75000759959221E-03
28-06-2019 20:08:18;OD600;1;6;3;C:\Tecan\Assays\Data\OD600_2019_06_28_08_06_09.xlsx;-2,37499363720417E-03
28-06-2019 20:16:43;OD600;3;6;4;C:\Tecan\Assays\Data\OD600_2019_06_28_08_14_34.xlsx;-1,12500041723251E-03
28-06-2019 21:11:05;OD600;1;7;1;C:\Tecan\Assays\Data\OD600_2019_06_28_09_08_56.xlsx;-2,49999575316906E-04
28-06-2019 21:19:30;OD600;3;7;2;C:\Tecan\Assays\Data\OD600_2019_06_28_09_17_21.xlsx;-7,49998725950718E-04
28-06-2019 22:12:54;OD600;1;8;3;C:\Tecan\Assays\Data\OD600_2019_06_28_10_10_46.xlsx;1,24999787658453E-03
28-06-2019 22:21:20;OD600;3;8;4;C:\Tecan\Assays\Data\OD600_2019_06_28_10_19_11.xlsx;4,99994494020939E-04
28-06-2019 23:15:39;OD600;1;9;1;C:\Tecan\Assays\Data\OD600_2019_06_28_11_13_30.xlsx;-6,25001266598701E-04
28-06-2019 23:24:04;OD600;3;9;2;C:\Tecan\Assays\Data\OD600_2019_06_28_11_21_55.xlsx;-4,99999150633812E-04
29-06-2019 00:17:30;OD600;1;10;3;C:\Tecan\Assays\Data\OD600_2019_06_29_12_15_20.xlsx;-3,74997034668922E-04
29-06-2019 00:25:55;OD600;3;10;4;C:\Tecan\Assays\Data\OD600_2019_06_29_12_23_46.xlsx;-1,74999702721834E-03
29-06-2019 01:20:15;OD600;1;11;1;C:\Tecan\Assays\Data\OD600_2019_06_29_01_18_06.xlsx;2,12499406188726E-03
29-06-2019 01:28:41;OD600;3;11;2;C:\Tecan\Assays\Data\OD600_2019_06_29_01_26_32.xlsx;-2,00000591576099E-03
29-06-2019 02:22:05;OD600;1;12;3;C:\Tecan\Assays\Data\OD600_2019_06_29_02_19_56.xlsx;6,25001266598701E-04
29-06-2019 02:30:31;OD600;3;12;4;C:\Tecan\Assays\Data\OD600_2019_06_29_02_28_22.xlsx;-1,2500211596489E-04
29-06-2019 03:24:52;OD600;1;13;1;C:\Tecan\Assays\Data\OD600_2019_06_29_03_22_43.xlsx;2,37500295042992E-03
29-06-2019 03:33:18;OD600;3;13;2;C:\Tecan\Assays\Data\OD600_2019_06_29_03_31_09.xlsx;1,24992802739143E-04
29-06-2019 04:26:42;OD600;1;14;3;C:\Tecan\Assays\Data\OD600_2019_06_29_04_24_33.xlsx;1,8750037997961E-03
29-06-2019 04:35:08;OD600;3;14;4;C:\Tecan\Assays\Data\OD600_2019_06_29_04_32_59.xlsx;4,99999150633812E-04
29-06-2019 05:29:29;OD600;1;15;1;C:\Tecan\Assays\Data\OD600_2019_06_29_05_27_20.xlsx;-7,49994069337845E-04
29-06-2019 05:37:54;OD600;3;15;2;C:\Tecan\Assays\Data\OD600_2019_06_29_05_35_45.xlsx;-5,2499957382679E-03
29-06-2019 06:31:17;OD600;1;16;3;C:\Tecan\Assays\Data\OD600_2019_06_29_06_29_09.xlsx;-1,75000168383121E-03
29-06-2019 06:39:43;OD600;3;16;4;C:\Tecan\Assays\Data\OD600_2019_06_29_06_37_34.xlsx;-3,75001691281796E-04
29-06-2019 07:34:05;OD600;1;17;1;C:\Tecan\Assays\Data\OD600_2019_06_29_07_31_56.xlsx;2,16249981895089E-02
29-06-2019 07:42:31;OD600;3;17;2;C:\Tecan\Assays\Data\OD600_2019_06_29_07_40_22.xlsx;-0,065875006839633
29-06-2019 08:35:56;OD600;1;18;3;C:\Tecan\Assays\Data\OD600_2019_06_29_08_33_47.xlsx;-2,75000464171171E-03
29-06-2019 08:44:21;OD600;3;18;4;C:\Tecan\Assays\Data\OD600_2019_06_29_08_42_12.xlsx;-7,50003382563591E-04
29-06-2019 09:38:39;OD600;1;19;1;C:\Tecan\Assays\Data\OD600_2019_06_29_09_36_30.xlsx;-7,49998725950718E-04
29-06-2019 09:47:05;OD600;3;19;2;C:\Tecan\Assays\Data\OD600_2019_06_29_09_44_56.xlsx;-9,12499614059925E-03
29-06-2019 10:40:29;OD600;1;20;3;C:\Tecan\Assays\Data\OD600_2019_06_29_10_38_20.xlsx;-9,3750050291419E-03
29-06-2019 10:48:55;OD600;3;20;4;C:\Tecan\Assays\Data\OD600_2019_06_29_10_46_46.xlsx;-2,12499871850014E-03
29-06-2019 11:43:15;OD600;1;21;1;C:\Tecan\Assays\Data\OD600_2019_06_29_11_41_06.xlsx;1,2500211596489E-04
29-06-2019 11:51:41;OD600;3;21;2;C:\Tecan\Assays\Data\OD600_2019_06_29_11_49_31.xlsx;6,24991953372955E-04
29-06-2019 12:45:08;OD600;1;22;3;C:\Tecan\Assays\Data\OD600_2019_06_29_12_42_57.xlsx;-2,49999575316906E-04
29-06-2019 12:53:34;OD600;3;22;4;C:\Tecan\Assays\Data\OD600_2019_06_29_12_51_25.xlsx;1,24999321997166E-03
29-06-2019 13:47:54;OD600;1;23;1;C:\Tecan\Assays\Data\OD600_2019_06_29_01_45_45.xlsx;-3,75001691281796E-04
29-06-2019 13:56:20;OD600;3;23;2;C:\Tecan\Assays\Data\OD600_2019_06_29_01_54_11.xlsx;-2,37499829381704E-03
29-06-2019 14:49:44;OD600;1;24;3;C:\Tecan\Assays\Data\OD600_2019_06_29_02_47_35.xlsx;-2,87499744445086E-03
29-06-2019 14:58:10;OD600;3;24;4;C:\Tecan\Assays\Data\OD600_2019_06_29_02_56_01.xlsx;-6,25001266598701E-04
29-06-2019 15:52:28;OD600;1;25;1;C:\Tecan\Assays\Data\OD600_2019_06_29_03_50_19.xlsx;8,75000841915607E-04
29-06-2019 16:00:55;OD600;3;25;2;C:\Tecan\Assays\Data\OD600_2019_06_29_03_58_46.xlsx;-1,74999702721834E-03
29-06-2019 16:54:19;OD600;1;26;3;C:\Tecan\Assays\Data\OD600_2019_06_29_04_52_10.xlsx;6,24996609985828E-04
29-06-2019 17:02:45;OD600;3;26;4;C:\Tecan\Assays\Data\OD600_2019_06_29_05_00_36.xlsx;-4,99994494020939E-04
29-06-2019 17:57:05;OD600;1;27;1;C:\Tecan\Assays\Data\OD600_2019_06_29_05_54_56.xlsx;-6,25001266598701E-04
29-06-2019 18:05:31;OD600;3;27;2;C:\Tecan\Assays\Data\OD600_2019_06_29_06_03_22.xlsx;-3,37499659508467E-03
29-06-2019 18:58:56;OD600;1;28;3;C:\Tecan\Assays\Data\OD600_2019_06_29_06_56_46.xlsx;-8,75010155141354E-04
29-06-2019 19:07:22;OD600;3;28;4;C:\Tecan\Assays\Data\OD600_2019_06_29_07_05_13.xlsx;-2,12499871850014E-03
29-06-2019 20:01:43;OD600;1;29;1;C:\Tecan\Assays\Data\OD600_2019_06_29_07_59_34.xlsx;-1,2500211596489E-04
29-06-2019 20:10:09;OD600;3;29;2;C:\Tecan\Assays\Data\OD600_2019_06_29_08_07_59.xlsx;2,49999575316906E-04
29-06-2019 21:03:33;OD600;1;30;3;C:\Tecan\Assays\Data\OD600_2019_06_29_09_01_24.xlsx;-4,65661287307739E-09
29-06-2019 21:11:59;OD600;3;30;4;C:\Tecan\Assays\Data\OD600_2019_06_29_09_09_50.xlsx;1,12500041723251E-03
29-06-2019 22:06:21;OD600;1;31;1;C:\Tecan\Assays\Data\OD600_2019_06_29_10_04_12.xlsx;4,99994494020939E-04
29-06-2019 22:14:46;OD600;3;31;2;C:\Tecan\Assays\Data\OD600_2019_06_29_10_12_37.xlsx;-1,12500041723251E-03
29-06-2019 23:08:10;OD600;1;32;3;C:\Tecan\Assays\Data\OD600_2019_06_29_11_06_01.xlsx;-1,37499533593655E-03
29-06-2019 23:16:37;OD600;3;32;4;C:\Tecan\Assays\Data\OD600_2019_06_29_11_14_27.xlsx;-3,74997034668922E-04
30-06-2019 00:10:58;OD600;1;33;1;C:\Tecan\Assays\Data\OD600_2019_06_30_12_08_49.xlsx;-9,99998301267624E-04
30-06-2019 00:19:24;OD600;3;33;2;C:\Tecan\Assays\Data\OD600_2019_06_30_12_17_15.xlsx;-1,75000168383121E-03
30-06-2019 01:12:49;OD600;1;34;3;C:\Tecan\Assays\Data\OD600_2019_06_30_01_10_40.xlsx;1,2500211596489E-04
30-06-2019 01:21:15;OD600;3;34;4;C:\Tecan\Assays\Data\OD600_2019_06_30_01_19_06.xlsx;3,74997034668922E-04
30-06-2019 02:15:38;OD600;1;35;1;C:\Tecan\Assays\Data\OD600_2019_06_30_02_13_28.xlsx;8,75000841915607E-04
30-06-2019 02:24:04;OD600;3;35;2;C:\Tecan\Assays\Data\OD600_2019_06_30_02_21_55.xlsx;-2,00000125914812E-03
30-06-2019 03:17:29;OD600;1;36;3;C:\Tecan\Assays\Data\OD600_2019_06_30_03_15_19.xlsx;-4,99994494020939E-04
30-06-2019 03:25:55;OD600;3;36;4;C:\Tecan\Assays\Data\OD600_2019_06_30_03_23_46.xlsx;7,49998725950718E-04
30-06-2019 04:20:14;OD600;1;37;1;C:\Tecan\Assays\Data\OD600_2019_06_30_04_18_04.xlsx;1,49999279528856E-03
30-06-2019 04:28:40;OD600;3;37;2;C:\Tecan\Assays\Data\OD600_2019_06_30_04_26_31.xlsx;-2,49994918704033E-04
30-06-2019 05:22:04;OD600;1;38;3;C:\Tecan\Assays\Data\OD600_2019_06_30_05_19_55.xlsx;3,75001691281796E-04
30-06-2019 05:30:30;OD600;3;38;4;C:\Tecan\Assays\Data\OD600_2019_06_30_05_28_21.xlsx;-2,49999575316906E-04
30-06-2019 06:24:50;OD600;1;39;1;C:\Tecan\Assays\Data\OD600_2019_06_30_06_22_41.xlsx;-1,2500025331974E-03
30-06-2019 06:33:17;OD600;3;39;2;C:\Tecan\Assays\Data\OD600_2019_06_30_06_31_07.xlsx;-1,87500845640898E-03
30-06-2019 07:26:41;OD600;1;40;3;C:\Tecan\Assays\Data\OD600_2019_06_30_07_24_31.xlsx;-4,99994494020939E-04
30-06-2019 07:35:07;OD600;3;40;4;C:\Tecan\Assays\Data\OD600_2019_06_30_07_32_58.xlsx;-1,24997459352016E-04
30-06-2019 08:29:28;OD600;1;41;1;C:\Tecan\Assays\Data\OD600_2019_06_30_08_27_19.xlsx;1,21250003576279E-02
30-06-2019 08:37:55;OD600;3;41;2;C:\Tecan\Assays\Data\OD600_2019_06_30_08_35_45.xlsx;6,24996609985828E-04
30-06-2019 09:31:18;OD600;1;42;3;C:\Tecan\Assays\Data\OD600_2019_06_30_09_29_09.xlsx;4,12500463426113E-03
30-06-2019 09:39:45;OD600;3;42;4;C:\Tecan\Assays\Data\OD600_2019_06_30_09_37_35.xlsx;5,65000018104911E-02
30-06-2019 10:34:05;OD600;1;43;1;C:\Tecan\Assays\Data\OD600_2019_06_30_10_31_56.xlsx;-7,18750059604645E-02
30-06-2019 10:42:31;OD600;3;43;2;C:\Tecan\Assays\Data\OD600_2019_06_30_10_40_22.xlsx;2,75000045076013E-02
30-06-2019 11:35:56;OD600;1;44;3;C:\Tecan\Assays\Data\OD600_2019_06_30_11_33_47.xlsx;0,132374996319413
30-06-2019 11:44:22;OD600;3;44;4;C:\Tecan\Assays\Data\OD600_2019_06_30_11_42_13.xlsx;-1,83749943971634E-02
30-06-2019 12:38:46;OD600;1;45;1;C:\Tecan\Assays\Data\OD600_2019_06_30_12_36_35.xlsx;-0,132250003516674
30-06-2019 12:47:12;OD600;3;45;2;C:\Tecan\Assays\Data\OD600_2019_06_30_12_45_03.xlsx;2,62500019744039E-02
30-06-2019 13:40:37;OD600;1;46;3;C:\Tecan\Assays\Data\OD600_2019_06_30_01_38_27.xlsx;-0,266250004060566
30-06-2019 13:49:03;OD600;3;46;4;C:\Tecan\Assays\Data\OD600_2019_06_30_01_46_54.xlsx;1,24999321997166E-03
30-06-2019 14:43:24;OD600;1;47;1;C:\Tecan\Assays\Data\OD600_2019_06_30_02_41_15.xlsx;7,37500051036477E-02
30-06-2019 14:51:50;OD600;3;47;2;C:\Tecan\Assays\Data\OD600_2019_06_30_02_49_41.xlsx;-4,49999701231718E-03
30-06-2019 15:45:16;OD600;1;48;3;C:\Tecan\Assays\Data\OD600_2019_06_30_03_43_06.xlsx;-0,225625005550683
30-06-2019 15:53:42;OD600;3;48;4;C:\Tecan\Assays\Data\OD600_2019_06_30_03_51_33.xlsx;-1,12500041723251E-03
30-06-2019 16:48:02;OD600;1;49;1;C:\Tecan\Assays\Data\OD600_2019_06_30_04_45_53.xlsx;-0,160500002093613
30-06-2019 16:56:29;OD600;3;49;2;C:\Tecan\Assays\Data\OD600_2019_06_30_04_54_19.xlsx;-0,014249999076128
30-06-2019 17:49:54;OD600;1;50;3;C:\Tecan\Assays\Data\OD600_2019_06_30_05_47_44.xlsx;-9,96250053867698E-02
30-06-2019 17:58:20;OD600;3;50;4;C:\Tecan\Assays\Data\OD600_2019_06_30_05_56_10.xlsx;-1,31249940022826E-02
