Sampling Time;Measurement Type;Bioshaker Processed;Sampling ID;Quadrant Used in Reading Plate
28-06-2019 14:55:10;OD600;1;1;1
28-06-2019 14:57:19;OD450;1;1;1
28-06-2019 15:03:36;OD600;3;1;2
28-06-2019 15:05:44;OD450;3;1;2
28-06-2019 15:56:59;OD600;1;2;3
28-06-2019 15:59:08;OD450;1;2;3
28-06-2019 16:05:24;OD600;3;2;4
28-06-2019 16:07:34;OD450;3;2;4
28-06-2019 16:59:44;OD600;1;3;1
28-06-2019 17:01:53;OD450;1;3;1
28-06-2019 17:08:10;OD600;3;3;2
28-06-2019 17:10:19;OD450;3;3;2
28-06-2019 18:01:34;OD600;1;4;3
28-06-2019 18:03:43;OD450;1;4;3
28-06-2019 18:10:00;OD600;3;4;4
28-06-2019 18:12:09;OD450;3;4;4
28-06-2019 19:04:19;OD600;1;5;1
28-06-2019 19:06:28;OD450;1;5;1
28-06-2019 19:12:44;OD600;3;5;2
28-06-2019 19:14:53;OD450;3;5;2
28-06-2019 20:06:08;OD600;1;6;3
28-06-2019 20:08:18;OD450;1;6;3
28-06-2019 20:14:34;OD600;3;6;4
28-06-2019 20:16:43;OD450;3;6;4
28-06-2019 21:08:56;OD600;1;7;1
28-06-2019 21:11:05;OD450;1;7;1
28-06-2019 21:17:21;OD600;3;7;2
28-06-2019 21:19:30;OD450;3;7;2
28-06-2019 22:10:45;OD600;1;8;3
28-06-2019 22:12:54;OD450;1;8;3
28-06-2019 22:19:11;OD600;3;8;4
28-06-2019 22:21:20;OD450;3;8;4
28-06-2019 23:13:30;OD600;1;9;1
28-06-2019 23:15:39;OD450;1;9;1
28-06-2019 23:21:55;OD600;3;9;2
28-06-2019 23:24:04;OD450;3;9;2
29-06-2019 00:15:20;OD600;1;10;3
29-06-2019 00:17:30;OD450;1;10;3
29-06-2019 00:23:46;OD600;3;10;4
29-06-2019 00:25:55;OD450;3;10;4
29-06-2019 01:18:06;OD600;1;11;1
29-06-2019 01:20:15;OD450;1;11;1
