Sampling Time;Measurement Type;Bioshaker Processed;Sampling ID;Quadrant Used in Reading Plate
29-06-2019 01:26:32;OD600;3;11;2
29-06-2019 01:28:41;OD450;3;11;2
29-06-2019 02:19:56;OD600;1;12;3
29-06-2019 02:22:05;OD450;1;12;3
29-06-2019 02:28:22;OD600;3;12;4
29-06-2019 02:30:31;OD450;3;12;4
29-06-2019 03:22:43;OD600;1;13;1
29-06-2019 03:24:52;OD450;1;13;1
29-06-2019 03:31:09;OD600;3;13;2
29-06-2019 03:33:18;OD450;3;13;2
29-06-2019 04:24:33;OD600;1;14;3
29-06-2019 04:26:42;OD450;1;14;3
29-06-2019 04:32:59;OD600;3;14;4
29-06-2019 04:35:08;OD450;3;14;4
29-06-2019 05:27:19;OD600;1;15;1
29-06-2019 05:29:29;OD450;1;15;1
29-06-2019 05:35:45;OD600;3;15;2
29-06-2019 05:37:54;OD450;3;15;2
29-06-2019 06:29:08;OD600;1;16;3
29-06-2019 06:31:18;OD450;1;16;3
29-06-2019 06:37:34;OD600;3;16;4
29-06-2019 06:39:43;OD450;3;16;4
29-06-2019 07:31:56;OD600;1;17;1
29-06-2019 07:34:05;OD450;1;17;1
29-06-2019 07:40:22;OD600;3;17;2
29-06-2019 07:42:31;OD450;3;17;2
29-06-2019 08:33:46;OD600;1;18;3
29-06-2019 08:35:56;OD450;1;18;3
29-06-2019 08:42:12;OD600;3;18;4
29-06-2019 08:44:21;OD450;3;18;4
29-06-2019 09:36:30;OD600;1;19;1
29-06-2019 09:38:39;OD450;1;19;1
29-06-2019 09:44:56;OD600;3;19;2
29-06-2019 09:47:05;OD450;3;19;2
29-06-2019 10:38:19;OD600;1;20;3
29-06-2019 10:40:29;OD450;1;20;3
29-06-2019 10:46:46;OD600;3;20;4
29-06-2019 10:48:55;OD450;3;20;4
29-06-2019 11:41:06;OD600;1;21;1
29-06-2019 11:43:15;OD450;1;21;1
29-06-2019 11:49:31;OD600;3;21;2
29-06-2019 11:51:41;OD450;3;21;2
29-06-2019 12:42:56;OD600;1;22;3
29-06-2019 12:45:08;OD450;1;22;3
29-06-2019 12:51:25;OD600;3;22;4
29-06-2019 12:53:34;OD450;3;22;4
29-06-2019 13:45:45;OD600;1;23;1
29-06-2019 13:47:54;OD450;1;23;1
29-06-2019 13:54:11;OD600;3;23;2
29-06-2019 13:56:20;OD450;3;23;2
29-06-2019 14:47:35;OD600;1;24;3
29-06-2019 14:49:44;OD450;1;24;3
29-06-2019 14:56:01;OD600;3;24;4
29-06-2019 14:58:10;OD450;3;24;4
29-06-2019 15:50:19;OD600;1;25;1
29-06-2019 15:52:28;OD450;1;25;1
29-06-2019 15:58:45;OD600;3;25;2
29-06-2019 16:00:55;OD450;3;25;2
29-06-2019 16:52:10;OD600;1;26;3
29-06-2019 16:54:19;OD450;1;26;3
29-06-2019 17:00:36;OD600;3;26;4
29-06-2019 17:02:45;OD450;3;26;4
29-06-2019 17:54:56;OD600;1;27;1
29-06-2019 17:57:05;OD450;1;27;1
29-06-2019 18:03:22;OD600;3;27;2
29-06-2019 18:05:31;OD450;3;27;2
29-06-2019 18:56:46;OD600;1;28;3
29-06-2019 18:58:56;OD450;1;28;3
29-06-2019 19:05:13;OD600;3;28;4
29-06-2019 19:07:22;OD450;3;28;4
29-06-2019 19:59:34;OD600;1;29;1
29-06-2019 20:01:43;OD450;1;29;1
29-06-2019 20:07:59;OD600;3;29;2
29-06-2019 20:10:09;OD450;3;29;2
29-06-2019 21:01:24;OD600;1;30;3
29-06-2019 21:03:33;OD450;1;30;3
29-06-2019 21:09:50;OD600;3;30;4
29-06-2019 21:11:59;OD450;3;30;4
29-06-2019 22:04:11;OD600;1;31;1
29-06-2019 22:06:21;OD450;1;31;1
29-06-2019 22:12:37;OD600;3;31;2
29-06-2019 22:14:46;OD450;3;31;2
29-06-2019 23:06:01;OD600;1;32;3
29-06-2019 23:08:10;OD450;1;32;3
29-06-2019 23:14:27;OD600;3;32;4
29-06-2019 23:16:37;OD450;3;32;4
30-06-2019 00:08:49;OD600;1;33;1
30-06-2019 00:10:58;OD450;1;33;1
30-06-2019 00:17:15;OD600;3;33;2
30-06-2019 00:19:24;OD450;3;33;2
30-06-2019 01:10:40;OD600;1;34;3
30-06-2019 01:12:49;OD450;1;34;3
30-06-2019 01:19:06;OD600;3;34;4
30-06-2019 01:21:15;OD450;3;34;4
30-06-2019 02:13:28;OD600;1;35;1
30-06-2019 02:15:38;OD450;1;35;1
30-06-2019 02:21:55;OD600;3;35;2
30-06-2019 02:24:04;OD450;3;35;2
30-06-2019 03:15:19;OD600;1;36;3
30-06-2019 03:17:29;OD450;1;36;3
30-06-2019 03:23:46;OD600;3;36;4
30-06-2019 03:25:55;OD450;3;36;4
30-06-2019 04:18:04;OD600;1;37;1
30-06-2019 04:20:14;OD450;1;37;1
30-06-2019 04:26:31;OD600;3;37;2
30-06-2019 04:28:40;OD450;3;37;2
30-06-2019 05:19:54;OD600;1;38;3
30-06-2019 05:22:04;OD450;1;38;3
30-06-2019 05:28:21;OD600;3;38;4
30-06-2019 05:30:30;OD450;3;38;4
30-06-2019 06:22:41;OD600;1;39;1
30-06-2019 06:24:50;OD450;1;39;1
30-06-2019 06:31:07;OD600;3;39;2
30-06-2019 06:33:17;OD450;3;39;2
30-06-2019 07:24:31;OD600;1;40;3
30-06-2019 07:26:41;OD450;1;40;3
30-06-2019 07:32:58;OD600;3;40;4
30-06-2019 07:35:07;OD450;3;40;4
30-06-2019 08:27:19;OD600;1;41;1
30-06-2019 08:29:28;OD450;1;41;1
30-06-2019 08:35:45;OD600;3;41;2
30-06-2019 08:37:55;OD450;3;41;2
30-06-2019 09:29:09;OD600;1;42;3
30-06-2019 09:31:18;OD450;1;42;3
30-06-2019 09:37:35;OD600;3;42;4
30-06-2019 09:39:45;OD450;3;42;4
30-06-2019 10:31:56;OD600;1;43;1
30-06-2019 10:34:05;OD450;1;43;1
30-06-2019 10:40:22;OD600;3;43;2
30-06-2019 10:42:31;OD450;3;43;2
30-06-2019 11:33:47;OD600;1;44;3
30-06-2019 11:35:56;OD450;1;44;3
30-06-2019 11:42:13;OD600;3;44;4
30-06-2019 11:44:22;OD450;3;44;4
30-06-2019 12:36:35;OD600;1;45;1
30-06-2019 12:38:46;OD450;1;45;1
30-06-2019 12:45:03;OD600;3;45;2
30-06-2019 12:47:12;OD450;3;45;2
30-06-2019 13:38:27;OD600;1;46;3
30-06-2019 13:40:37;OD450;1;46;3
30-06-2019 13:46:54;OD600;3;46;4
30-06-2019 13:49:03;OD450;3;46;4
30-06-2019 14:41:15;OD600;1;47;1
30-06-2019 14:43:24;OD450;1;47;1
30-06-2019 14:49:41;OD600;3;47;2
30-06-2019 14:51:50;OD450;3;47;2
30-06-2019 15:43:06;OD600;1;48;3
30-06-2019 15:45:16;OD450;1;48;3
30-06-2019 15:51:33;OD600;3;48;4
30-06-2019 15:53:42;OD450;3;48;4
30-06-2019 16:45:53;OD600;1;49;1
30-06-2019 16:48:02;OD450;1;49;1
30-06-2019 16:54:19;OD600;3;49;2
30-06-2019 16:56:29;OD450;3;49;2
30-06-2019 17:47:44;OD600;1;50;3
30-06-2019 17:49:54;OD450;1;50;3
30-06-2019 17:56:10;OD600;3;50;4
30-06-2019 17:58:20;OD450;3;50;4
30-06-2019 18:47:03;Experiment Finished;;50;
