Sampling Time;Measurement Type;Bioshaker Processed;Sampling ID;Quadrant Used in Reading Plate;Dilution Factor
28-08-2020 15:19:11;OD600;1;1;1;5
28-08-2020 15:21:20;OD450;1;1;1;5
28-08-2020 15:27:44;OD600;2;1;2;5
28-08-2020 15:29:52;OD450;2;1;2;5
28-08-2020 15:54:22;OD600;1;2;3;5
28-08-2020 15:56:31;OD450;1;2;3;5
28-08-2020 16:02:55;OD600;2;2;4;5
28-08-2020 16:05:04;OD450;2;2;4;5
28-08-2020 16:30:34;OD600;1;3;1;5
28-08-2020 16:32:43;OD450;1;3;1;5
28-08-2020 16:39:08;OD600;2;3;2;5
28-08-2020 16:41:17;OD450;2;3;2;5
28-08-2020 17:05:51;OD600;1;4;3;5
28-08-2020 17:08:00;OD450;1;4;3;5
28-08-2020 17:14:24;OD600;2;4;4;5
28-08-2020 17:16:33;OD450;2;4;4;5
28-08-2020 17:39:57;OD600;1;5;1;5
28-08-2020 17:42:06;OD450;1;5;1;5
28-08-2020 17:48:29;OD600;2;5;2;5
28-08-2020 17:50:38;OD450;2;5;2;5
28-08-2020 18:13:07;OD600;1;6;3;5
28-08-2020 18:15:16;OD450;1;6;3;5
28-08-2020 18:23:40;OD600;2;6;4;5
28-08-2020 18:25:48;OD450;2;6;4;5
28-08-2020 18:49:19;OD600;1;7;1;5
28-08-2020 18:51:28;OD450;1;7;1;5
28-08-2020 18:57:53;OD600;2;7;2;5
28-08-2020 19:00:02;OD450;2;7;2;5
28-08-2020 19:24:29;OD600;1;8;3;5
28-08-2020 19:26:38;OD450;1;8;3;5
28-08-2020 19:33:02;OD600;2;8;4;5
28-08-2020 19:35:11;OD450;2;8;4;5
28-08-2020 20:00:37;OD600;1;9;1;5
28-08-2020 20:02:46;OD450;1;9;1;5
28-08-2020 20:09:09;OD600;2;9;2;5
28-08-2020 20:11:18;OD450;2;9;2;5
28-08-2020 20:35:47;OD600;1;10;3;5
28-08-2020 20:37:56;OD450;1;10;3;5
28-08-2020 20:44:17;OD600;2;10;4;5
28-08-2020 20:46:26;OD450;2;10;4;5
28-08-2020 21:09:52;OD600;1;11;1;5
28-08-2020 21:12:01;OD450;1;11;1;5
28-08-2020 21:18:25;OD600;2;11;2;5
28-08-2020 21:20:33;OD450;2;11;2;5
28-08-2020 21:43:00;OD600;1;12;3;5
28-08-2020 21:45:09;OD450;1;12;3;5
28-08-2020 21:53:33;OD600;2;12;4;5
28-08-2020 21:55:42;OD450;2;12;4;5
28-08-2020 22:19:10;OD600;1;13;1;5
28-08-2020 22:21:19;OD450;1;13;1;5
28-08-2020 22:27:42;OD600;2;13;2;5
28-08-2020 22:29:51;OD450;2;13;2;5
28-08-2020 22:54:23;OD600;1;14;3;5
28-08-2020 22:56:32;OD450;1;14;3;5
28-08-2020 23:02:56;OD600;2;14;4;5
28-08-2020 23:05:05;OD450;2;14;4;5
28-08-2020 23:30:35;OD600;1;15;1;5
