Sampling Time;Measurement Type;Bioshaker Processed;Sampling ID;Quadrant Used in Reading Plate
25-07-2019 11:05:08;OD600;1;1;1
25-07-2019 11:07:18;OD450;1;1;1
25-07-2019 11:09:23;FLUO;1;1;1
25-07-2019 11:15:42;OD600;2;1;2
25-07-2019 11:17:51;OD450;2;1;2
25-07-2019 11:19:56;FLUO;2;1;2
25-07-2019 11:26:16;OD600;3;1;3
25-07-2019 11:28:25;OD450;3;1;3
25-07-2019 11:30:30;FLUO;3;1;3
25-07-2019 11:37:22;OD600;5;1;4
25-07-2019 11:39:53;OD450;5;1;4
25-07-2019 11:42:17;FLUO;5;1;4
25-07-2019 13:29:36;OD600;1;2;1
25-07-2019 13:31:45;OD450;1;2;1
25-07-2019 13:33:50;FLUO;1;2;1
25-07-2019 13:40:09;OD600;2;2;2
25-07-2019 13:42:18;OD450;2;2;2
25-07-2019 13:44:23;FLUO;2;2;2
25-07-2019 13:50:45;OD600;3;2;3
25-07-2019 13:52:54;OD450;3;2;3
25-07-2019 13:54:59;FLUO;3;2;3
25-07-2019 14:01:23;OD600;5;2;4
25-07-2019 14:03:32;OD450;5;2;4
25-07-2019 14:05:38;FLUO;5;2;4
25-07-2019 15:52:54;OD600;1;3;1
25-07-2019 15:55:03;OD450;1;3;1
25-07-2019 15:57:09;FLUO;1;3;1
25-07-2019 16:03:33;OD600;2;3;2
25-07-2019 16:05:42;OD450;2;3;2
25-07-2019 16:07:47;FLUO;2;3;2
25-07-2019 16:14:11;OD600;3;3;3
25-07-2019 16:16:21;OD450;3;3;3
25-07-2019 16:18:26;FLUO;3;3;3
25-07-2019 16:24:57;OD600;5;3;4
25-07-2019 16:27:06;OD450;5;3;4
25-07-2019 16:29:11;FLUO;5;3;4
25-07-2019 18:16:31;OD600;1;4;1
25-07-2019 18:18:40;OD450;1;4;1
25-07-2019 18:20:46;FLUO;1;4;1
25-07-2019 18:27:13;OD600;2;4;2
25-07-2019 18:29:21;OD450;2;4;2
25-07-2019 18:31:27;FLUO;2;4;2
25-07-2019 18:37:56;OD600;3;4;3
25-07-2019 18:40:05;OD450;3;4;3
25-07-2019 18:42:10;FLUO;3;4;3
25-07-2019 18:48:43;OD600;5;4;4
25-07-2019 18:50:52;OD450;5;4;4
25-07-2019 18:52:58;FLUO;5;4;4
25-07-2019 20:40:19;OD600;1;5;1
25-07-2019 20:42:28;OD450;1;5;1
25-07-2019 20:44:35;FLUO;1;5;1
25-07-2019 20:51:05;OD600;2;5;2
25-07-2019 20:53:13;OD450;2;5;2
25-07-2019 20:55:19;FLUO;2;5;2
25-07-2019 21:01:55;OD600;3;5;3
25-07-2019 21:04:03;OD450;3;5;3
25-07-2019 21:06:09;FLUO;3;5;3
25-07-2019 21:12:51;OD600;5;5;4
25-07-2019 21:14:59;OD450;5;5;4
25-07-2019 21:17:05;FLUO;5;5;4
25-07-2019 23:04:29;OD600;1;6;1
25-07-2019 23:06:38;OD450;1;6;1
25-07-2019 23:08:43;FLUO;1;6;1
25-07-2019 23:15:21;OD600;2;6;2
25-07-2019 23:17:30;OD450;2;6;2
25-07-2019 23:19:35;FLUO;2;6;2
25-07-2019 23:26:11;OD600;3;6;3
25-07-2019 23:28:20;OD450;3;6;3
25-07-2019 23:30:25;FLUO;3;6;3
25-07-2019 23:37:07;OD600;5;6;4
25-07-2019 23:39:15;OD450;5;6;4
25-07-2019 23:41:21;FLUO;5;6;4
26-07-2019 01:28:54;OD600;1;7;1
26-07-2019 01:31:03;OD450;1;7;1
26-07-2019 01:33:10;FLUO;1;7;1
26-07-2019 01:40:04;OD600;2;7;2
26-07-2019 01:42:13;OD450;2;7;2
26-07-2019 01:44:19;FLUO;2;7;2
26-07-2019 01:51:15;OD600;3;7;3
26-07-2019 01:53:24;OD450;3;7;3
26-07-2019 01:55:31;FLUO;3;7;3
26-07-2019 02:02:38;OD600;5;7;4
26-07-2019 02:04:47;OD450;5;7;4
26-07-2019 02:06:55;FLUO;5;7;4
26-07-2019 03:54:28;OD600;1;8;1
26-07-2019 03:56:39;OD450;1;8;1
26-07-2019 03:58:46;FLUO;1;8;1
26-07-2019 04:06:13;OD600;2;8;2
26-07-2019 04:08:22;OD450;2;8;2
26-07-2019 04:10:34;FLUO;2;8;2
26-07-2019 04:18:14;OD600;3;8;3
26-07-2019 04:20:23;OD450;3;8;3
26-07-2019 04:22:32;FLUO;3;8;3
26-07-2019 04:30:06;OD600;5;8;4
26-07-2019 04:32:19;OD450;5;8;4
26-07-2019 04:34:25;FLUO;5;8;4
26-07-2019 06:22:00;OD600;1;9;1
26-07-2019 06:24:08;OD450;1;9;1
26-07-2019 06:26:14;FLUO;1;9;1
26-07-2019 06:33:25;OD600;2;9;2
26-07-2019 06:35:37;OD450;2;9;2
26-07-2019 06:37:45;FLUO;2;9;2
26-07-2019 06:45:21;OD600;3;9;3
26-07-2019 06:47:31;OD450;3;9;3
26-07-2019 06:49:38;FLUO;3;9;3
26-07-2019 06:57:15;OD600;5;9;4
26-07-2019 06:59:29;OD450;5;9;4
