	Sample_ID	calc_gr	calc_volumeloss	Species	Drop_out
51	BS1.0_D7	TRUE	FALSE	MG1655	FALSE
52	BS1.0_E7	TRUE	FALSE	MG1655	FALSE
53	BS1.0_F7	TRUE	FALSE	MG1655	FALSE
54	BS1.0_G7	TRUE	FALSE	MG1655	FALSE
55	BS1.0_H7	TRUE	FALSE	MG1655	FALSE
56	BS1.0_A8	TRUE	FALSE	MG1655	FALSE
57	BS1.0_B8	TRUE	FALSE	MG1655	FALSE
58	BS1.0_C8	TRUE	FALSE	MG1655	FALSE
59	BS1.0_D8	TRUE	FALSE	MG1655	FALSE
60	BS1.0_E8	TRUE	FALSE	MG1655	FALSE
61	BS1.0_F8	TRUE	FALSE	MG1655	FALSE
62	BS1.0_G8	TRUE	FALSE	MG1655	FALSE
63	BS1.0_H8	TRUE	FALSE	MG1655	FALSE
64	BS1.0_A9	TRUE	FALSE	MG1656	FALSE
65	BS1.0_B9	TRUE	FALSE	MG1657	FALSE
66	BS1.0_C9	TRUE	FALSE	MG1658	FALSE
67	BS1.0_D9	TRUE	FALSE	MG1659	FALSE
68	BS1.0_E9	TRUE	FALSE	MG1655	FALSE
69	BS1.0_F9	TRUE	FALSE	MG1655	FALSE
70	BS1.0_G9	TRUE	FALSE	MG1655	FALSE
71	BS1.0_H9	TRUE	FALSE	MG1655	FALSE
72	BS1.0_A10	TRUE	FALSE	MG1655	FALSE
73	BS1.0_B10	TRUE	FALSE	MG1655	FALSE
74	BS1.0_C10	TRUE	FALSE	MG1655	FALSE
75	BS1.0_D10	TRUE	FALSE	MG1655	FALSE
76	BS1.0_E10	TRUE	FALSE	MG1655	FALSE
77	BS1.0_F10	TRUE	FALSE	MG1655	FALSE
78	BS1.0_G10	TRUE	FALSE	MG1655	FALSE
79	BS1.0_H10	TRUE	FALSE	MG1655	FALSE
80	BS1.0_A11	FALSE	FALSE	Empty	TRUE
81	BS1.0_B11	FALSE	FALSE	Empty	TRUE
82	BS1.0_C11	FALSE	FALSE	Empty	TRUE
83	BS1.0_D11	FALSE	FALSE	Empty	TRUE
84	BS1.0_E11	FALSE	FALSE	Empty	TRUE
85	BS1.0_F11	FALSE	FALSE	Empty	TRUE
86	BS1.0_G11	FALSE	FALSE	Empty	TRUE
87	BS1.0_H11	FALSE	FALSE	Empty	TRUE
88	BS1.0_A12	FALSE	TRUE	Orange G	FALSE
89	BS1.0_B12	FALSE	TRUE	Orange G	FALSE
90	BS1.0_C12	FALSE	TRUE	Orange G	FALSE
91	BS1.0_D12	FALSE	TRUE	Orange G	FALSE
92	BS1.0_E12	FALSE	FALSE	Empty	TRUE
93	BS1.0_F12	FALSE	FALSE	Empty	TRUE
94	BS1.0_G12	FALSE	FALSE	Empty	TRUE
95	BS1.0_H12	FALSE	FALSE	Empty	TRUE
96	BS2.0_A1	TRUE	FALSE	P.putida	FALSE
97	BS2.0_B1	TRUE	FALSE	P.putida	FALSE
98	BS2.0_C1	TRUE	FALSE	P.putida	FALSE
99	BS2.0_D1	TRUE	FALSE	P.putida	FALSE
100	BS2.0_E1	TRUE	FALSE	P.putida	FALSE
101	BS2.0_F1	TRUE	FALSE	P.putida	FALSE
102	BS2.0_G1	TRUE	FALSE	P.putida	FALSE
103	BS2.0_H1	TRUE	FALSE	P.putida	FALSE
104	BS2.0_A2	TRUE	FALSE	P.putida	FALSE
105	BS2.0_B2	TRUE	FALSE	P.putida	FALSE
106	BS2.0_C2	TRUE	FALSE	P.putida	FALSE
107	BS2.0_D2	TRUE	FALSE	P.putida	FALSE
108	BS2.0_E2	TRUE	FALSE	P.putida	FALSE
109	BS2.0_F2	TRUE	FALSE	P.putida	FALSE
110	BS2.0_G2	TRUE	FALSE	P.putida	FALSE
111	BS2.0_H2	TRUE	FALSE	P.putida	FALSE
112	BS2.0_A3	TRUE	FALSE	P.putida	FALSE
113	BS2.0_B3	TRUE	FALSE	P.putida	FALSE
114	BS2.0_C3	TRUE	FALSE	P.putida	FALSE
115	BS2.0_D3	TRUE	FALSE	P.putida	FALSE
116	BS2.0_E3	TRUE	FALSE	P.putida	FALSE
117	BS2.0_F3	TRUE	FALSE	P.putida	FALSE
118	BS2.0_G3	TRUE	FALSE	P.putida	FALSE
119	BS2.0_H3	TRUE	FALSE	P.putida	FALSE
120	BS2.0_A4	TRUE	FALSE	P.putida	FALSE
121	BS2.0_B4	TRUE	FALSE	P.putida	FALSE
122	BS2.0_C4	TRUE	FALSE	P.putida	FALSE
123	BS2.0_D4	TRUE	FALSE	P.putida	FALSE
124	BS2.0_E4	TRUE	FALSE	P.putida	FALSE
125	BS2.0_F4	TRUE	FALSE	P.putida	FALSE
126	BS2.0_G4	TRUE	FALSE	P.putida	FALSE
127	BS2.0_H4	TRUE	FALSE	P.putida	FALSE
128	BS2.0_A5	TRUE	FALSE	P.putida	FALSE
129	BS2.0_B5	TRUE	FALSE	P.putida	FALSE
130	BS2.0_C5	TRUE	FALSE	P.putida	FALSE
131	BS2.0_D5	TRUE	FALSE	P.putida	FALSE
132	BS2.0_E5	TRUE	FALSE	P.putida	FALSE
133	BS2.0_F5	TRUE	FALSE	P.putida	FALSE
134	BS2.0_G5	TRUE	FALSE	P.putida	FALSE
135	BS2.0_H5	TRUE	FALSE	P.putida	FALSE
136	BS2.0_A6	TRUE	FALSE	P.putida	FALSE
137	BS2.0_B6	TRUE	FALSE	P.putida	FALSE
138	BS2.0_C6	TRUE	FALSE	P.putida	FALSE
139	BS2.0_D6	TRUE	FALSE	P.putida	FALSE
140	BS2.0_E6	TRUE	FALSE	P.putida	FALSE
141	BS2.0_F6	TRUE	FALSE	P.putida	FALSE
142	BS2.0_G6	TRUE	FALSE	P.putida	FALSE
143	BS2.0_H6	TRUE	FALSE	P.putida	FALSE
144	BS2.0_A7	TRUE	FALSE	P.putida	FALSE
145	BS2.0_B7	TRUE	FALSE	P.putida	FALSE
146	BS2.0_C7	TRUE	FALSE	P.putida	FALSE
147	BS2.0_D7	TRUE	FALSE	P.putida	FALSE
148	BS2.0_E7	TRUE	FALSE	P.putida	FALSE
149	BS2.0_F7	TRUE	FALSE	P.putida	FALSE
150	BS2.0_G7	TRUE	FALSE	P.putida	FALSE
151	BS2.0_H7	TRUE	FALSE	P.putida	FALSE
152	BS2.0_A8	TRUE	FALSE	P.putida	FALSE
153	BS2.0_B8	TRUE	FALSE	P.putida	FALSE
154	BS2.0_C8	TRUE	FALSE	P.putida	FALSE
155	BS2.0_D8	TRUE	FALSE	P.putida	FALSE
156	BS2.0_E8	TRUE	FALSE	P.putida	FALSE
157	BS2.0_F8	TRUE	FALSE	P.putida	FALSE
158	BS2.0_G8	TRUE	FALSE	P.putida	FALSE
159	BS2.0_H8	TRUE	FALSE	P.putida	FALSE
160	BS2.0_A9	TRUE	FALSE	P.putida	FALSE
161	BS2.0_B9	TRUE	FALSE	P.putida	FALSE
162	BS2.0_C9	TRUE	FALSE	P.putida	FALSE
163	BS2.0_D9	TRUE	FALSE	P.putida	FALSE
164	BS2.0_E9	TRUE	FALSE	P.putida	FALSE
165	BS2.0_F9	TRUE	FALSE	P.putida	FALSE
166	BS2.0_G9	TRUE	FALSE	P.putida	FALSE
167	BS2.0_H9	TRUE	FALSE	P.putida	FALSE
168	BS2.0_A10	TRUE	FALSE	P.putida	FALSE
169	BS2.0_B10	TRUE	FALSE	P.putida	FALSE
170	BS2.0_C10	TRUE	FALSE	P.putida	FALSE
171	BS2.0_D10	TRUE	FALSE	P.putida	FALSE
172	BS2.0_E10	TRUE	FALSE	P.putida	FALSE
173	BS2.0_F10	TRUE	FALSE	P.putida	FALSE
174	BS2.0_G10	TRUE	FALSE	P.putida	FALSE
175	BS2.0_H10	TRUE	FALSE	P.putida	FALSE
176	BS2.0_A11	FALSE	FALSE	Empty	TRUE
177	BS2.0_B11	FALSE	FALSE	Empty	TRUE
178	BS2.0_C11	FALSE	FALSE	Empty	TRUE
179	BS2.0_D11	FALSE	FALSE	Empty	TRUE
180	BS2.0_E11	FALSE	FALSE	Empty	TRUE
181	BS2.0_F11	FALSE	FALSE	Empty	TRUE
182	BS2.0_G11	FALSE	FALSE	Empty	TRUE
183	BS2.0_H11	FALSE	FALSE	Empty	TRUE
184	BS2.0_A12	FALSE	TRUE	Orange G	FALSE
185	BS2.0_B12	FALSE	TRUE	Orange G	FALSE
186	BS2.0_C12	FALSE	TRUE	Orange G	FALSE
187	BS2.0_D12	FALSE	TRUE	Orange G	FALSE
188	BS2.0_E12	FALSE	FALSE	Empty	TRUE
189	BS2.0_F12	FALSE	FALSE	Empty	TRUE
190	BS2.0_G12	FALSE	FALSE	Empty	TRUE
191	BS2.0_H12	FALSE	FALSE	Empty	TRUE
192	BS3.0_A1	TRUE	FALSE	CEN.PK113-7D	FALSE
193	BS3.0_B1	TRUE	FALSE	CEN.PK113-7D	FALSE
194	BS3.0_C1	TRUE	FALSE	CEN.PK113-7D	FALSE
195	BS3.0_D1	TRUE	FALSE	CEN.PK113-7D	FALSE
196	BS3.0_E1	TRUE	FALSE	CEN.PK113-7D	FALSE
197	BS3.0_F1	TRUE	FALSE	CEN.PK113-7D	FALSE
198	BS3.0_G1	TRUE	FALSE	CEN.PK113-7D	FALSE
199	BS3.0_H1	TRUE	FALSE	CEN.PK113-7D	FALSE
200	BS3.0_A2	TRUE	FALSE	CEN.PK113-7D	FALSE
201	BS3.0_B2	TRUE	FALSE	CEN.PK113-7D	FALSE
202	BS3.0_C2	TRUE	FALSE	CEN.PK113-7D	FALSE
203	BS3.0_D2	TRUE	FALSE	CEN.PK113-7D	FALSE
204	BS3.0_E2	TRUE	FALSE	CEN.PK113-7D	FALSE
205	BS3.0_F2	TRUE	FALSE	CEN.PK113-7D	FALSE
206	BS3.0_G2	TRUE	FALSE	CEN.PK113-7D	FALSE
207	BS3.0_H2	TRUE	FALSE	CEN.PK113-7D	FALSE
208	BS3.0_A3	TRUE	FALSE	CEN.PK113-7D	FALSE
209	BS3.0_B3	TRUE	FALSE	CEN.PK113-7D	FALSE
210	BS3.0_C3	TRUE	FALSE	CEN.PK113-7D	FALSE
211	BS3.0_D3	TRUE	FALSE	CEN.PK113-7D	FALSE
212	BS3.0_E3	TRUE	FALSE	CEN.PK113-7D	FALSE
213	BS3.0_F3	TRUE	FALSE	CEN.PK113-7D	FALSE
214	BS3.0_G3	TRUE	FALSE	CEN.PK113-7D	FALSE
215	BS3.0_H3	TRUE	FALSE	CEN.PK113-7D	FALSE
216	BS3.0_A4	TRUE	FALSE	CEN.PK113-7D	FALSE
217	BS3.0_B4	TRUE	FALSE	CEN.PK113-7D	FALSE
218	BS3.0_C4	TRUE	FALSE	CEN.PK113-7D	FALSE
219	BS3.0_D4	TRUE	FALSE	CEN.PK113-7D	FALSE
220	BS3.0_E4	TRUE	FALSE	CEN.PK113-7D	FALSE
221	BS3.0_F4	TRUE	FALSE	CEN.PK113-7D	FALSE
222	BS3.0_G4	TRUE	FALSE	CEN.PK113-7D	FALSE
223	BS3.0_H4	TRUE	FALSE	CEN.PK113-7D	FALSE
224	BS3.0_A5	TRUE	FALSE	CEN.PK113-7D	FALSE
225	BS3.0_B5	TRUE	FALSE	CEN.PK113-7D	FALSE
226	BS3.0_C5	TRUE	FALSE	CEN.PK113-7D	FALSE
227	BS3.0_D5	TRUE	FALSE	CEN.PK113-7D	FALSE
228	BS3.0_E5	TRUE	FALSE	CEN.PK113-7D	FALSE
229	BS3.0_F5	TRUE	FALSE	CEN.PK113-7D	FALSE
230	BS3.0_G5	TRUE	FALSE	CEN.PK113-7D	FALSE
231	BS3.0_H5	TRUE	FALSE	CEN.PK113-7D	FALSE
232	BS3.0_A6	TRUE	FALSE	CEN.PK113-7D	FALSE
233	BS3.0_B6	TRUE	FALSE	CEN.PK113-7D	FALSE
234	BS3.0_C6	TRUE	FALSE	CEN.PK113-7D	FALSE
235	BS3.0_D6	TRUE	FALSE	CEN.PK113-7D	FALSE
236	BS3.0_E6	TRUE	FALSE	CEN.PK113-7D	FALSE
237	BS3.0_F6	TRUE	FALSE	CEN.PK113-7D	FALSE
238	BS3.0_G6	TRUE	FALSE	CEN.PK113-7D	FALSE
239	BS3.0_H6	TRUE	FALSE	CEN.PK113-7D	FALSE
240	BS3.0_A7	TRUE	FALSE	CEN.PK113-7D	FALSE
241	BS3.0_B7	TRUE	FALSE	CEN.PK113-7D	FALSE
242	BS3.0_C7	TRUE	FALSE	CEN.PK113-7D	FALSE
243	BS3.0_D7	TRUE	FALSE	CEN.PK113-7D	FALSE
244	BS3.0_E7	TRUE	FALSE	CEN.PK113-7D	FALSE
245	BS3.0_F7	TRUE	FALSE	CEN.PK113-7D	FALSE
246	BS3.0_G7	TRUE	FALSE	CEN.PK113-7D	FALSE
247	BS3.0_H7	TRUE	FALSE	CEN.PK113-7D	FALSE
248	BS3.0_A8	TRUE	FALSE	CEN.PK113-7D	FALSE
249	BS3.0_B8	TRUE	FALSE	CEN.PK113-7D	FALSE
250	BS3.0_C8	TRUE	FALSE	CEN.PK113-7D	FALSE
251	BS3.0_D8	TRUE	FALSE	CEN.PK113-7D	FALSE
252	BS3.0_E8	TRUE	FALSE	CEN.PK113-7D	FALSE
253	BS3.0_F8	TRUE	FALSE	CEN.PK113-7D	FALSE
254	BS3.0_G8	TRUE	FALSE	CEN.PK113-7D	FALSE
255	BS3.0_H8	TRUE	FALSE	CEN.PK113-7D	FALSE
256	BS3.0_A9	TRUE	FALSE	CEN.PK113-7D	FALSE
257	BS3.0_B9	TRUE	FALSE	CEN.PK113-7D	FALSE
258	BS3.0_C9	TRUE	FALSE	CEN.PK113-7D	FALSE
259	BS3.0_D9	TRUE	FALSE	CEN.PK113-7D	FALSE
260	BS3.0_E9	TRUE	FALSE	CEN.PK113-7D	FALSE
261	BS3.0_F9	TRUE	FALSE	CEN.PK113-7D	FALSE
262	BS3.0_G9	TRUE	FALSE	CEN.PK113-7D	FALSE
263	BS3.0_H9	TRUE	FALSE	CEN.PK113-7D	FALSE
264	BS3.0_A10	TRUE	FALSE	CEN.PK113-7D	FALSE
265	BS3.0_B10	TRUE	FALSE	CEN.PK113-7D	FALSE
266	BS3.0_C10	TRUE	FALSE	CEN.PK113-7D	FALSE
267	BS3.0_D10	TRUE	FALSE	CEN.PK113-7D	FALSE
268	BS3.0_E10	TRUE	FALSE	CEN.PK113-7D	FALSE
269	BS3.0_F10	TRUE	FALSE	CEN.PK113-7D	FALSE
270	BS3.0_G10	TRUE	FALSE	CEN.PK113-7D	FALSE
271	BS3.0_H10	TRUE	FALSE	CEN.PK113-7D	FALSE
272	BS3.0_A11	FALSE	FALSE	Empty	TRUE
273	BS3.0_B11	FALSE	FALSE	Empty	TRUE
274	BS3.0_C11	FALSE	FALSE	Empty	TRUE
275	BS3.0_D11	FALSE	FALSE	Empty	TRUE
276	BS3.0_E11	FALSE	FALSE	Empty	TRUE
277	BS3.0_F11	FALSE	FALSE	Empty	TRUE
278	BS3.0_G11	FALSE	FALSE	Empty	TRUE
279	BS3.0_H11	FALSE	FALSE	Empty	TRUE
280	BS3.0_A12	FALSE	TRUE	Orange G	FALSE
281	BS3.0_B12	FALSE	TRUE	Orange G	FALSE
282	BS3.0_C12	FALSE	TRUE	Orange G	FALSE
283	BS3.0_D12	FALSE	TRUE	Orange G	FALSE
284	BS3.0_E12	FALSE	FALSE	Empty	TRUE
285	BS3.0_F12	FALSE	FALSE	Empty	TRUE
286	BS3.0_G12	FALSE	FALSE	Empty	TRUE
287	BS3.0_H12	FALSE	FALSE	Empty	TRUE
