	Sample_ID	calc_gr	calc_volumeloss	Species	Drop_out
0	BS1.0_A1	TRUE	FALSE	MG1655	FALSE
1	BS1.0_B1	TRUE	FALSE	MG1655	FALSE
2	BS1.0_C1	TRUE	FALSE	MG1655	FALSE
3	BS1.0_D1	TRUE	FALSE	MG1655	FALSE
4	BS1.0_E1	TRUE	FALSE	MG1655	FALSE
5	BS1.0_F1	TRUE	FALSE	MG1655	FALSE
6	BS1.0_G1	TRUE	FALSE	MG1655	FALSE
7	BS1.0_H1	TRUE	FALSE	MG1655	FALSE
8	BS1.0_A2	TRUE	FALSE	MG1655	FALSE
9	BS1.0_B2	TRUE	FALSE	MG1655	FALSE
10	BS1.0_C2	TRUE	FALSE	MG1655	FALSE
11	BS1.0_D2	TRUE	FALSE	MG1655	FALSE
12	BS1.0_E2	TRUE	FALSE	MG1655	FALSE
13	BS1.0_F2	TRUE	FALSE	MG1655	FALSE
14	BS1.0_G2	TRUE	FALSE	MG1655	FALSE
15	BS1.0_H2	TRUE	FALSE	MG1655	FALSE
16	BS1.0_A3	TRUE	FALSE	MG1656	FALSE
17	BS1.0_B3	TRUE	FALSE	MG1657	FALSE
18	BS1.0_C3	TRUE	FALSE	MG1658	FALSE
19	BS1.0_D3	TRUE	FALSE	MG1659	FALSE
20	BS1.0_E3	TRUE	FALSE	MG1655	FALSE
21	BS1.0_F3	TRUE	FALSE	MG1655	FALSE
22	BS1.0_G3	TRUE	FALSE	MG1655	FALSE
23	BS1.0_H3	TRUE	FALSE	MG1655	FALSE
24	BS1.0_A4	TRUE	FALSE	MG1655	FALSE
25	BS1.0_B4	TRUE	FALSE	MG1655	FALSE
26	BS1.0_C4	TRUE	FALSE	MG1655	FALSE
27	BS1.0_D4	TRUE	FALSE	MG1655	FALSE
28	BS1.0_E4	TRUE	FALSE	MG1655	FALSE
29	BS1.0_F4	TRUE	FALSE	MG1655	FALSE
30	BS1.0_G4	TRUE	FALSE	MG1655	FALSE
31	BS1.0_H4	TRUE	FALSE	MG1655	FALSE
32	BS1.0_A5	TRUE	FALSE	MG1655	FALSE
33	BS1.0_B5	TRUE	FALSE	MG1655	FALSE
34	BS1.0_C5	TRUE	FALSE	MG1655	FALSE
35	BS1.0_D5	TRUE	FALSE	MG1655	FALSE
36	BS1.0_E5	TRUE	FALSE	MG1655	FALSE
37	BS1.0_F5	TRUE	FALSE	MG1655	FALSE
38	BS1.0_G5	TRUE	FALSE	MG1655	FALSE
39	BS1.0_H5	TRUE	FALSE	MG1655	FALSE
40	BS1.0_A6	TRUE	FALSE	MG1656	FALSE
41	BS1.0_B6	TRUE	FALSE	MG1657	FALSE
42	BS1.0_C6	TRUE	FALSE	MG1658	FALSE
43	BS1.0_D6	TRUE	FALSE	MG1659	FALSE
44	BS1.0_E6	TRUE	FALSE	MG1655	FALSE
45	BS1.0_F6	TRUE	FALSE	MG1655	FALSE
46	BS1.0_G6	TRUE	FALSE	MG1655	FALSE
47	BS1.0_H6	TRUE	FALSE	MG1655	FALSE
48	BS1.0_A7	TRUE	FALSE	MG1655	FALSE
49	BS1.0_B7	TRUE	FALSE	MG1655	FALSE
50	BS1.0_C7	TRUE	FALSE	MG1655	FALSE
