Sampling Time;Measurement Type;Bioshaker Processed;Sampling ID;Quadrant Used in Reading Plate;Dilution Factor
30-06-2020 09:36:37;OD600;1;1;1;5
30-06-2020 09:38:47;OD450;1;1;1;5
30-06-2020 09:45:12;OD600;2;1;2;5
30-06-2020 09:47:22;OD450;2;1;2;5
30-06-2020 10:10:02;OD600;1;2;3;5
30-06-2020 10:12:11;OD450;1;2;3;5
30-06-2020 10:20:41;OD600;2;2;4;5
30-06-2020 10:22:51;OD450;2;2;4;5
30-06-2020 10:46:25;OD600;1;3;1;5
30-06-2020 10:48:35;OD450;1;3;1;5
30-06-2020 10:55:02;OD600;2;3;2;5
30-06-2020 10:57:12;OD450;2;3;2;5
30-06-2020 11:21:02;OD600;1;4;3;5
30-06-2020 11:23:12;OD450;1;4;3;5
30-06-2020 11:29:39;OD600;2;4;4;5
30-06-2020 11:31:49;OD450;2;4;4;5
30-06-2020 11:57:34;OD600;1;5;1;5
30-06-2020 11:59:44;OD450;1;5;1;5
30-06-2020 12:06:10;OD600;2;5;2;5
30-06-2020 12:08:20;OD450;2;5;2;5
30-06-2020 12:32:54;OD600;1;6;3;5
30-06-2020 12:35:04;OD450;1;6;3;5
30-06-2020 12:41:31;OD600;2;6;4;5
30-06-2020 12:43:41;OD450;2;6;4;5
30-06-2020 13:07:12;OD600;1;7;1;5
30-06-2020 13:09:22;OD450;1;7;1;5
30-06-2020 13:15:50;OD600;2;7;2;5
30-06-2020 13:18:00;OD450;2;7;2;5
30-06-2020 13:42:33;OD600;1;8;3;5
30-06-2020 13:44:43;OD450;1;8;3;5
30-06-2020 13:51:10;OD600;2;8;4;5
30-06-2020 13:53:20;OD450;2;8;4;5
30-06-2020 14:16:52;OD600;1;9;1;5
30-06-2020 14:19:02;OD450;1;9;1;5
30-06-2020 14:25:28;OD600;2;9;2;5
30-06-2020 14:27:38;OD450;2;9;2;5
30-06-2020 14:50:12;OD600;1;10;3;5
30-06-2020 14:52:22;OD450;1;10;3;5
30-06-2020 15:00:48;OD600;2;10;4;5
30-06-2020 15:02:58;OD450;2;10;4;5
30-06-2020 15:26:34;OD600;1;11;1;5
30-06-2020 15:28:44;OD450;1;11;1;5
30-06-2020 15:35:10;OD600;2;11;2;5
30-06-2020 15:37:20;OD450;2;11;2;5
30-06-2020 15:59:55;OD600;1;12;3;5
30-06-2020 16:02:05;OD450;1;12;3;5
30-06-2020 16:10:36;OD600;2;12;4;5
30-06-2020 16:12:46;OD450;2;12;4;5
30-06-2020 16:34:16;OD600;1;13;1;5
30-06-2020 16:36:26;OD450;1;13;1;5
30-06-2020 16:44:54;OD600;2;13;2;5
30-06-2020 16:47:04;OD450;2;13;2;5
30-06-2020 17:09:37;OD600;1;14;3;5
30-06-2020 17:11:47;OD450;1;14;3;5
30-06-2020 17:18:15;OD600;2;14;4;5
30-06-2020 17:20:25;OD450;2;14;4;5
30-06-2020 17:44:00;OD600;1;15;1;5
30-06-2020 17:46:10;OD450;1;15;1;5
30-06-2020 17:52:37;OD600;2;15;2;5
30-06-2020 17:54:47;OD450;2;15;2;5
30-06-2020 18:19:25;OD600;1;16;3;5
30-06-2020 18:21:35;OD450;1;16;3;5
30-06-2020 18:28:02;OD600;2;16;4;5
30-06-2020 18:30:12;OD450;2;16;4;5
30-06-2020 18:55:50;OD600;1;17;1;5
30-06-2020 18:58:00;OD450;1;17;1;5
30-06-2020 19:04:27;OD600;2;17;2;5
30-06-2020 19:06:37;OD450;2;17;2;5
30-06-2020 19:29:14;OD600;1;18;3;5
30-06-2020 19:31:25;OD450;1;18;3;5
30-06-2020 19:39:55;OD600;2;18;4;5
30-06-2020 19:42:05;OD450;2;18;4;5
30-06-2020 20:05:30;OD600;1;19;1;5
30-06-2020 20:07:39;OD450;1;19;1;5
30-06-2020 20:14:06;OD600;2;19;2;5
30-06-2020 20:16:16;OD450;2;19;2;5
30-06-2020 20:40:49;OD600;1;20;3;5
30-06-2020 20:43:00;OD450;1;20;3;5
30-06-2020 20:49:27;OD600;2;20;4;5
30-06-2020 20:51:38;OD450;2;20;4;5
30-06-2020 21:15:09;OD600;1;21;1;5
30-06-2020 21:17:20;OD450;1;21;1;5
30-06-2020 21:23:47;OD600;2;21;2;5
30-06-2020 21:25:57;OD450;2;21;2;5
30-06-2020 21:50:34;OD600;1;22;3;5
30-06-2020 21:52:44;OD450;1;22;3;5
30-06-2020 21:59:11;OD600;2;22;4;5
30-06-2020 22:01:22;OD450;2;22;4;5
30-06-2020 22:24:55;OD600;1;23;1;5
30-06-2020 22:27:05;OD450;1;23;1;5
30-06-2020 22:33:32;OD600;2;23;2;5
30-06-2020 22:35:42;OD450;2;23;2;5
30-06-2020 22:58:19;OD600;1;24;3;5
30-06-2020 23:00:30;OD450;1;24;3;5
30-06-2020 23:06:56;OD600;2;24;4;5
30-06-2020 23:09:07;OD450;2;24;4;5
30-06-2020 23:34:38;OD600;1;25;1;5
30-06-2020 23:36:48;OD450;1;25;1;5
30-06-2020 23:43:15;OD600;2;25;2;5
30-06-2020 23:45:25;OD450;2;25;2;5
01-07-2020 00:07:55;OD600;1;26;3;5
01-07-2020 00:10:06;OD450;1;26;3;5
01-07-2020 00:18:35;OD600;2;26;4;5
01-07-2020 00:20:45;OD450;2;26;4;5
01-07-2020 00:42:14;OD600;1;27;1;5
01-07-2020 00:44:24;OD450;1;27;1;5
01-07-2020 00:52:51;OD600;2;27;2;5
01-07-2020 00:55:01;OD450;2;27;2;5
01-07-2020 01:17:33;OD600;1;28;3;5
01-07-2020 01:19:43;OD450;1;28;3;5
01-07-2020 01:26:11;OD600;2;28;4;5
01-07-2020 01:28:21;OD450;2;28;4;5
01-07-2020 01:51:52;OD600;1;29;1;5
01-07-2020 01:54:02;OD450;1;29;1;5
01-07-2020 02:00:29;OD600;2;29;2;5
01-07-2020 02:02:40;OD450;2;29;2;5
01-07-2020 02:25:14;OD600;1;30;3;5
01-07-2020 02:27:25;OD450;1;30;3;5
01-07-2020 02:35:52;OD600;2;30;4;5
01-07-2020 02:38:03;OD450;2;30;4;5
01-07-2020 03:01:38;OD600;1;31;1;5
01-07-2020 03:03:48;OD450;1;31;1;5
01-07-2020 03:10:18;OD600;2;31;2;5
01-07-2020 03:12:29;OD450;2;31;2;5
01-07-2020 03:35:05;OD600;1;32;3;5
01-07-2020 03:37:16;OD450;1;32;3;5
01-07-2020 03:45:46;OD600;2;32;4;5
01-07-2020 03:47:57;OD450;2;32;4;5
01-07-2020 04:11:30;OD600;1;33;1;5
01-07-2020 04:13:41;OD450;1;33;1;5
01-07-2020 04:20:07;OD600;2;33;2;5
01-07-2020 04:22:17;OD450;2;33;2;5
01-07-2020 04:46:53;OD600;1;34;3;5
01-07-2020 04:49:04;OD450;1;34;3;5
01-07-2020 04:55:29;OD600;2;34;4;5
01-07-2020 04:57:40;OD450;2;34;4;5
01-07-2020 05:21:12;OD600;1;35;1;5
01-07-2020 05:23:22;OD450;1;35;1;5
01-07-2020 05:29:50;OD600;2;35;2;5
01-07-2020 05:32:01;OD450;2;35;2;5
01-07-2020 05:56:36;OD600;1;36;3;5
01-07-2020 05:58:47;OD450;1;36;3;5
01-07-2020 06:05:14;OD600;2;36;4;5
01-07-2020 06:07:24;OD450;2;36;4;5
01-07-2020 06:30:51;OD600;1;37;1;5
01-07-2020 06:33:01;OD450;1;37;1;5
01-07-2020 06:39:29;OD600;2;37;2;5
01-07-2020 06:41:39;OD450;2;37;2;5
01-07-2020 07:04:10;OD600;1;38;3;5
01-07-2020 07:06:21;OD450;1;38;3;5
01-07-2020 07:14:49;OD600;2;38;4;5
01-07-2020 07:16:59;OD450;2;38;4;5
01-07-2020 07:40:30;OD600;1;39;1;5
01-07-2020 07:42:41;OD450;1;39;1;5
01-07-2020 07:49:07;OD600;2;39;2;5
01-07-2020 07:51:18;OD450;2;39;2;5
01-07-2020 08:15:52;OD600;1;40;3;5
01-07-2020 08:18:02;OD450;1;40;3;5
01-07-2020 08:24:28;OD600;2;40;4;5
01-07-2020 08:26:38;OD450;2;40;4;5
