	Sample_ID	calc_gr	calc_volumeloss	Species	Drop_out
0	BS1_A1	FALSE	TRUE	SIJ216	FALSE
1	BS1_B1	TRUE	FALSE	SIJ216	FALSE
2	BS1_C1	TRUE	FALSE	SIJ216	FALSE
3	BS1_D1	TRUE	FALSE	SIJ216	FALSE
4	BS1_E1	TRUE	FALSE	SIJ216	FALSE
5	BS1_F1	TRUE	FALSE	SIJ216	FALSE
6	BS1_G1	TRUE	FALSE	SIJ216	FALSE
7	BS1_H1	FALSE	TRUE	SIJ216	FALSE
8	BS1_A2	TRUE	FALSE	SIJ216	FALSE
9	BS1_B2	TRUE	FALSE	SIJ216	FALSE
10	BS1_C2	TRUE	FALSE	SIJ216	FALSE
11	BS1_D2	TRUE	FALSE	SIJ216	FALSE
12	BS1_E2	TRUE	FALSE	SIJ216	FALSE
13	BS1_F2	TRUE	FALSE	SIJ216	FALSE
14	BS1_G2	TRUE	FALSE	SIJ216	FALSE
15	BS1_H2	TRUE	FALSE	SIJ216	FALSE
16	BS1_A3	TRUE	FALSE	SIJ216	FALSE
17	BS1_B3	TRUE	FALSE	SIJ216	FALSE
18	BS1_C3	TRUE	FALSE	SIJ216	FALSE
19	BS1_D3	TRUE	FALSE	SIJ216	FALSE
20	BS1_E3	TRUE	FALSE	SIJ216	FALSE
21	BS1_F3	TRUE	FALSE	SIJ216	FALSE
22	BS1_G3	TRUE	FALSE	SIJ216	FALSE
23	BS1_H3	TRUE	FALSE	SIJ216	FALSE
24	BS1_A4	TRUE	FALSE	SIJ216	FALSE
25	BS1_B4	TRUE	FALSE	SIJ216	FALSE
26	BS1_C4	TRUE	FALSE	SIJ216	FALSE
27	BS1_D4	TRUE	FALSE	SIJ216	FALSE
28	BS1_E4	TRUE	FALSE	SIJ216	FALSE
29	BS1_F4	TRUE	FALSE	SIJ216	FALSE
30	BS1_G4	TRUE	FALSE	SIJ216	FALSE
31	BS1_H4	TRUE	FALSE	SIJ216	FALSE
32	BS1_A5	TRUE	FALSE	SIJ216	FALSE
33	BS1_B5	TRUE	FALSE	SIJ216	FALSE
34	BS1_C5	TRUE	FALSE	SIJ216	FALSE
35	BS1_D5	TRUE	FALSE	SIJ216	FALSE
36	BS1_E5	TRUE	FALSE	SIJ216	FALSE
37	BS1_F5	TRUE	FALSE	SIJ216	FALSE
38	BS1_G5	TRUE	FALSE	SIJ216	FALSE
