	Sample_ID	calc_gr	calc_volumeloss
582	BS3_G1	True	False
583	BS3_H1	True	False
584	BS3_A2	True	False
585	BS3_B2	True	False
586	BS3_C2	True	False
587	BS3_D2	True	False
588	BS3_E2	True	False
589	BS3_F2	True	False
590	BS3_G2	True	False
591	BS3_H2	True	False
592	BS3_A3	True	False
593	BS3_B3	True	False
594	BS3_C3	True	False
595	BS3_D3	True	False
596	BS3_E3	True	False
597	BS3_F3	True	False
598	BS3_G3	True	False
599	BS3_H3	True	False
600	BS3_A4	True	False
601	BS3_B4	True	False
602	BS3_C4	True	False
603	BS3_D4	True	False
604	BS3_E4	True	False
605	BS3_F4	True	False
606	BS3_G4	True	False
607	BS3_H4	True	False
608	BS3_A5	True	False
609	BS3_B5	True	False
610	BS3_C5	True	False
611	BS3_D5	True	False
612	BS3_E5	True	False
613	BS3_F5	True	False
614	BS3_G5	True	False
615	BS3_H5	True	False
616	BS3_A6	True	False
617	BS3_B6	True	False
618	BS3_C6	True	False
619	BS3_D6	True	False
620	BS3_E6	True	False
621	BS3_F6	True	False
622	BS3_G6	True	False
623	BS3_H6	True	False
624	BS3_A7	True	False
625	BS3_B7	True	False
626	BS3_C7	True	False
627	BS3_D7	True	False
628	BS3_E7	True	False
629	BS3_F7	True	False
630	BS3_G7	True	False
631	BS3_H7	True	False
632	BS3_A8	True	False
633	BS3_B8	True	False
634	BS3_C8	True	False
635	BS3_D8	True	False
636	BS3_E8	True	False
637	BS3_F8	True	False
638	BS3_G8	True	False
639	BS3_H8	True	False
640	BS3_A9	True	False
641	BS3_B9	True	False
642	BS3_C9	True	False
643	BS3_D9	True	False
644	BS3_E9	True	False
645	BS3_F9	True	False
646	BS3_G9	True	False
647	BS3_H9	True	False
648	BS3_A10	True	False
649	BS3_B10	True	False
650	BS3_C10	True	False
651	BS3_D10	True	False
652	BS3_E10	True	False
653	BS3_F10	True	False
654	BS3_G10	True	False
655	BS3_H10	True	False
656	BS3_A11	True	False
657	BS3_B11	True	False
658	BS3_C11	True	False
659	BS3_D11	True	False
660	BS3_E11	True	False
661	BS3_F11	True	False
662	BS3_G11	True	False
663	BS3_H11	True	False
664	BS3_A12	False	True
665	BS3_B12	False	True
666	BS3_C12	False	True
667	BS3_D12	False	True
668	BS3_E12	False	True
669	BS3_F12	False	True
670	BS3_G12	False	True
671	BS3_H12	False	True
864	BS5_A1	True	False
865	BS5_B1	True	False
866	BS5_C1	True	False
867	BS5_D1	True	False
868	BS5_E1	True	False
869	BS5_F1	True	False
870	BS5_G1	True	False
871	BS5_H1	True	False
872	BS5_A2	True	False
873	BS5_B2	True	False
874	BS5_C2	True	False
875	BS5_D2	True	False
876	BS5_E2	True	False
877	BS5_F2	True	False
878	BS5_G2	True	False
879	BS5_H2	True	False
880	BS5_A3	True	False
881	BS5_B3	True	False
882	BS5_C3	True	False
883	BS5_D3	True	False
884	BS5_E3	True	False
885	BS5_F3	True	False
886	BS5_G3	True	False
887	BS5_H3	True	False
888	BS5_A4	True	False
889	BS5_B4	True	False
890	BS5_C4	True	False
891	BS5_D4	True	False
892	BS5_E4	True	False
893	BS5_F4	True	False
894	BS5_G4	True	False
895	BS5_H4	True	False
896	BS5_A5	True	False
897	BS5_B5	True	False
898	BS5_C5	True	False
899	BS5_D5	True	False
900	BS5_E5	True	False
901	BS5_F5	True	False
902	BS5_G5	True	False
903	BS5_H5	True	False
904	BS5_A6	True	False
905	BS5_B6	True	False
906	BS5_C6	True	False
907	BS5_D6	True	False
908	BS5_E6	True	False
909	BS5_F6	True	False
910	BS5_G6	True	False
911	BS5_H6	True	False
912	BS5_A7	True	False
913	BS5_B7	True	False
914	BS5_C7	True	False
915	BS5_D7	True	False
916	BS5_E7	True	False
917	BS5_F7	True	False
918	BS5_G7	True	False
919	BS5_H7	True	False
920	BS5_A8	True	False
921	BS5_B8	True	False
922	BS5_C8	True	False
923	BS5_D8	True	False
924	BS5_E8	True	False
925	BS5_F8	True	False
926	BS5_G8	True	False
927	BS5_H8	True	False
